E00000,D00000,C00356,4
E00001,D00000,C00413,8
E00002,D00000,C00373,8
E00003,D00000,C00175,10
E00004,D00000,C00353,7
E00005,D00000,C00168,9
E00006,D00000,C00123,6
E00007,D00000,C00368,9
E00008,D00000,C00273,9
E00009,D00000,C00039,7
E00010,D00000,C00052,7
E00011,D00000,C00185,7
E00012,D00000,C00455,10
E00013,D00000,C00077,5
E00014,D00000,C00438,7
E00015,D00000,C00374,4
E00016,D00000,C00446,4
E00017,D00000,C00073,6
E00018,D00000,C00251,10
E00019,D00000,C00204,5
E00020,D00000,C00148,9
E00021,D00000,C00051,9
E00022,D00000,C00334,5
E00023,D00000,C00361,6
E00024,D00000,C00308,10
E00025,D00000,C00238,8
E00026,D00000,C00207,8
E00027,D00000,C00300,7
E00028,D00000,C00065,10
E00029,D00000,C00068,7
E00030,D00000,C00154,10
E00031,D00000,C00170,6
E00032,D00000,C00048,10
E00033,D00000,C00467,8
E00034,D00000,C00411,5
E00035,D00000,C00431,8
E00036,D00000,C00030,10
E00037,D00000,C00458,9
E00038,D00000,C00382,7
E00039,D00000,C00134,10
E00040,D00000,C00275,7
E00041,D00000,C00178,10
E00042,D00000,C00013,9
E00043,D00000,C00343,8
E00044,D00000,C00202,8
E00045,D00000,C00354,4
E00046,D00000,C00025,9
E00047,D00000,C00057,6
E00048,D00000,C00035,8
E00049,D00000,C00173,9
E00050,D00000,C00092,5
E00051,D00000,C00076,9
E00052,D00000,C00261,6
E00053,D00000,C00250,7
E00054,D00000,C00101,9
E00055,D00000,C00000,8
E00056,D00000,C00226,10
E00057,D00000,C00362,4
E00058,D00000,C00007,7
E00059,D00000,C00401,9
E00060,D00000,C00043,10
E00061,D00000,C00274,4
E00062,D00000,C00393,9
E00063,D00000,C00243,10
E00064,D00000,C00456,7
E00065,D00000,C00225,6
E00066,D00000,C00418,8
E00067,D00000,C00105,10
E00068,D00000,C00075,8
E00069,D00000,C00333,10
E00070,D00000,C00311,9
E00071,D00000,C00323,10
E00072,D00000,C00157,9
E00073,D00000,C00410,8
E00074,D00000,C00199,10
E00075,D00000,C00412,7
E00076,D00000,C00117,9
E00077,D00000,C00400,9
E00078,D00000,C00062,7
E00079,D00000,C00372,7
E00080,D00000,C00270,7
E00081,D00000,C00016,6
E00082,D00001,C00276,4
E00083,D00001,C00320,8
E00084,D00001,C00111,9
E00085,D00001,C00455,10
E00086,D00001,C00035,7
E00087,D00001,C00181,4
E00088,D00001,C00340,4
E00089,D00001,C00009,9
E00090,D00001,C00298,10
E00091,D00001,C00260,6
E00092,D00001,C00186,5
E00093,D00001,C00146,5
E00094,D00001,C00290,6
E00095,D00001,C00076,7
E00096,D00001,C00381,5
E00097,D00001,C00341,7
E00098,D00001,C00067,8
E00099,D00001,C00115,4
E00100,D00001,C00413,4
E00101,D00001,C00358,6
E00102,D00001,C00264,4
E00103,D00001,C00179,8
E00104,D00001,C00375,6
E00105,D00001,C00391,7
E00106,D00001,C00345,7
E00107,D00001,C00124,7
E00108,D00001,C00232,7
E00109,D00001,C00403,10
E00110,D00001,C00171,7
E00111,D00001,C00287,8
E00112,D00001,C00209,8
E00113,D00001,C00102,9
E00114,D00001,C00145,9
E00115,D00001,C00042,10
E00116,D00001,C00443,10
E00117,D00001,C00293,4
E00118,D00001,C00053,8
E00119,D00001,C00271,8
E00120,D00001,C00220,4
E00121,D00001,C00112,10
E00122,D00001,C00410,6
E00123,D00001,C00346,9
E00124,D00001,C00281,4
E00125,D00001,C00075,8
E00126,D00001,C00282,10
E00127,D00001,C00204,5
E00128,D00001,C00086,8
E00129,D00001,C00103,5
E00130,D00001,C00105,7
E00131,D00001,C00127,7
E00132,D00001,C00140,8
E00133,D00001,C00356,8
E00134,D00001,C00201,9
E00135,D00001,C00189,6
E00136,D00001,C00304,7
E00137,D00001,C00427,8
E00138,D00001,C00442,4
E00139,D00001,C00081,8
E00140,D00001,C00363,8
E00141,D00001,C00365,9
E00142,D00001,C00425,5
E00143,D00001,C00302,8
E00144,D00001,C00295,6
E00145,D00001,C00033,5
E00146,D00001,C00229,7
E00147,D00001,C00137,5
E00148,D00001,C00314,10
E00149,D00001,C00318,4
E00150,D00001,C00397,8
E00151,D00001,C00087,4
E00152,D00001,C00225,7
E00153,D00001,C00079,8
E00154,D00001,C00305,6
E00155,D00001,C00454,9
E00156,D00001,C00032,4
E00157,D00001,C00359,7
E00158,D00001,C00339,4
E00159,D00001,C00335,9
E00160,D00001,C00334,5
E00161,D00001,C00370,4
E00162,D00001,C00131,4
E00163,D00001,C00101,5
E00164,D00001,C00294,8
E00165,D00001,C00269,4
E00166,D00001,C00034,10
E00167,D00001,C00072,7
E00168,D00001,C00150,6
E00169,D00001,C00097,8
E00170,D00001,C00018,4
E00171,D00001,C00387,4
E00172,D00001,C00336,6
E00173,D00001,C00421,10
E00174,D00001,C00001,6
E00175,D00001,C00445,10
E00176,D00001,C00170,10
E00177,D00001,C00012,6
E00178,D00001,C00401,7
E00179,D00001,C00049,5
E00180,D00001,C00114,8
E00181,D00001,C00467,7
E00182,D00001,C00221,7
E00183,D00001,C00193,9
E00184,D00001,C00054,5
E00185,D00001,C00332,5
E00186,D00001,C00251,4
E00187,D00001,C00070,6
E00188,D00001,C00039,8
E00189,D00001,C00007,5
E00190,D00001,C00275,5
E00191,D00001,C00125,4
E00192,D00001,C00069,4
E00193,D00001,C00068,7
E00194,D00001,C00342,7
E00195,D00001,C00265,7
E00196,D00001,C00038,6
E00197,D00001,C00157,4
E00198,D00001,C00047,5
E00199,D00001,C00051,5
E00200,D00001,C00396,9
E00201,D00001,C00439,7
E00202,D00001,C00223,8
E00203,D00001,C00241,9
E00204,D00001,C00466,7
E00205,D00001,C00423,9
E00206,D00001,C00357,9
E00207,D00001,C00041,9
E00208,D00001,C00177,7
E00209,D00001,C00172,9
E00210,D00001,C00283,4
E00211,D00001,C00057,7
E00212,D00001,C00311,4
E00213,D00001,C00248,9
E00214,D00001,C00074,4
E00215,D00001,C00088,10
E00216,D00001,C00388,8
E00217,D00001,C00279,8
E00218,D00001,C00367,5
E00219,D00001,C00077,8
E00220,D00001,C00058,7
E00221,D00001,C00000,7
E00222,D00001,C00219,8
E00223,D00001,C00015,6
E00224,D00001,C00239,5
E00225,D00001,C00473,6
E00226,D00001,C00175,10
E00227,D00001,C00291,9
E00228,D00001,C00169,10
E00229,D00001,C00373,4
E00230,D00001,C00253,5
E00231,D00001,C00292,9
E00232,D00001,C00149,6
E00233,D00001,C00048,6
E00234,D00001,C00422,10
E00235,D00001,C00468,4
E00236,D00001,C00444,9
E00237,D00001,C00416,5
E00238,D00001,C00060,7
E00239,D00001,C00164,6
E00240,D00001,C00235,7
E00241,D00001,C00141,7
E00242,D00001,C00390,6
E00243,D00001,C00165,8
E00244,D00001,C00409,8
E00245,D00001,C00382,10
E00246,D00001,C00152,7
E00247,D00001,C00270,6
E00248,D00001,C00449,4
E00249,D00001,C00202,6
E00250,D00001,C00168,7
E00251,D00001,C00350,10
E00252,D00001,C00066,10
E00253,D00001,C00011,6
E00254,D00001,C00095,4
E00255,D00001,C00017,6
E00256,D00001,C00210,8
E00257,D00001,C00122,9
E00258,D00001,C00307,7
E00259,D00001,C00237,5
E00260,D00001,C00300,4
E00261,D00001,C00063,7
E00262,D00001,C00062,10
E00263,D00001,C00258,7
E00264,D00001,C00459,9
E00265,D00001,C00180,5
E00266,D00001,C00296,8
E00267,D00001,C00245,9
E00268,D00001,C00132,6
